stim_id,statement,actual_truth,1st category,2nd category
1,The natural red dye in the shells of crustaceans is called xanthophyll.,FALSE,"science, nature & technology",language
2,Sac fungi belong to the Protista family.,FALSE,"science, nature & technology",
3,The fourth man on the moon was Charles P. Conrad.,FALSE,history & politics,"science, nature & technology"
4,The air pump is a French invention.,FALSE,history & politics,"science, nature & technology"
5,A galactic year takes 2500 terrestrial years.,FALSE,"science, nature & technology",
6,Socrates was Alexander the Great's teacher.,FALSE,history & politics,
7,The capital of Madagascar is Toamasina.,FALSE,geography,
8,Valparaiso is one of Angola's biggest cities.,FALSE,geography,
9,Parema Lapis is a type of parasite.,FALSE,"science, nature & technology",
10,Theodore Fontane published his first novel at the age of 35.,FALSE,art & entertainment,history & politics
11,The Prophet Muhammad worked as a doctor before his religious calling.,FALSE,history & politics,
12,"According to EU regulations, the volume of an iPhone must not exceed 80 decibels.",FALSE,"science, nature & technology",
13,11.9% of the earth's surface is 1000 meters above sea level.,FALSE,geography,"science, nature & technology"
14,Pope Pius IX was Pope Leo XIII's successor.,FALSE,history & politics,
15,The activity of a radioactive substance is measured in Sievert.,FALSE,"science, nature & technology",
16,The standard base unit of time is milliseconds.,FALSE,"science, nature & technology",
17,The casing on the first Apple computer was made of aluminium.,FALSE,"science, nature & technology",
18,'Cum hoc ergo propter hoc' is an example of syllogistic reasoning.,FALSE,language,
19,Volcanoes can reach a maximum height of about 5000 metres.,FALSE,"science, nature & technology",geography
20,The Spanish ex-dictator Francisco Franco was nicknamed 'Conducator'.,FALSE,history & politics,
21,"According to the WHO, cancer is the leading cause of death.",FALSE,"science, nature & technology",
22,Androphobia is a fear of other people.,FALSE,language,
23,The Morda is a river in Germany.,FALSE,geography,"science, nature & technology"
24,The Barringer Crater is located in the moon's northern hemisphere.,FALSE,"science, nature & technology",geography
25,The island of Sel belongs to Denmark.,FALSE,geography,history & politics
26,The Sundra Trench is the deepest ocean trench on Earth.,FALSE,geography,"science, nature & technology"
27,"In Greece, it is not Friday the 13th that is cursed, but Wednesday the 13th.",FALSE,geography,art & entertainment
28,Lipid is a term for hydrophilic solids.,FALSE,"science, nature & technology",language
29,Former UN Secretary General Kofi Annan comes from Nigeria.,FALSE,history & politics,
30,The Italian flag was designed by Giuseppe Garibaldi.,FALSE,geography,history & politics
31,The speed at which sound travels is unaffected by temperature.,FALSE,"science, nature & technology",
32,One of the first German internet search engines was called 'Alcazar'.,FALSE,"science, nature & technology",history & politics
33,The all-wheel drive was invented in England in 1938.,FALSE,history & politics,"science, nature & technology"
34,The first UN Secretary-General was Dag Hammarskjöld from Sweden.,FALSE,history & politics,
35,The Prussian King Augustus I the Strong was nicknamed the Soldier King.,FALSE,history & politics,
36,The German boxer Henry Maske became world champion in the cruiserweight class.,FALSE,sports ,
37,'Au rendez-vous des amis' is a painting by August Macke.,FALSE,art & entertainment,
38,Richard Gere and Cindy Crawford got married in Mexico.,FALSE,art & entertainment,
39,Gisele Bündchen has a twin brother.,FALSE,art & entertainment,
40,The sun's photosphere can only be observed through a coronagraph.,FALSE,"science, nature & technology",
41,The Cocos Islands belong to Indonesia.,FALSE,geography,
42,Mehndi is the Indian word for Yoga Master.,FALSE,language,
43,The Lama temple is located in Shanghai.,FALSE,geography,
