"experimentname","subject","condition","session","phase","runningtrial","trial","statement","set","status","repeated_phase2","repeated_phase3","irating","irating.rt","trating","trating.rt","filter"
"TE_Experiment1",1,1,1,NA,"Buffer",1,"Ein Blatt Papier lässt sich genau achtmal in der Hälfte falten.","Buffer",NA,NA,NA,5,2767,4,14796,NA
"TE_Experiment1",1,1,1,NA,"Buffer",2,"Der Katzenwels besitzt mehr Geschmacksknospen als jedes andere Lebewesen.","Buffer",NA,NA,NA,5,1014,3,7856,NA
"TE_Experiment1",1,1,1,NA,"Buffer",3,"IRA ist die Abkürzung für ""Irish Revolting Army"".","Buffer",NA,NA,NA,5,1959,1,1652,NA
"TE_Experiment1",1,1,1,NA,"Buffer",4,"Die dänische Flagge ist die älteste unveränderte Nationalflagge der Welt.","Buffer",NA,NA,NA,5,954,5,7594,NA
"TE_Experiment1",1,1,1,NA,"Buffer",5,"Der Weißmeer-Kanal ist der längste Kanal der Erde.","Buffer",NA,NA,NA,3,2317,3,5707,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",6,"Das hawaiianische Alphabet besteht aus nur 12 Buchstaben.","SetB","True","No","Yes",5,1621,3,7455,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",7,"Nur ca. zwei Prozent der Weltbevölkerung sind von Natur aus blond.","SetA","True","Yes","No",6,1408,5,4450,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",8,"Ende 2003 waren in Deutschland 15 Atomkraftwerke am Netz. ","SetB","False","No","Yes",2,1814,4,2347,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",9,"Dreifarbige Katzen sind fast immer weiblich.","SetB","True","No","Yes",3,3781,2,2244,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",10,"Schwebfliegen sind die einzigen Insekten die rückwärts fliegen können.","SetB","False","No","Yes",3,2419,4,1096,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",11,"Mitgliedern der Nazi-SS wurde ihre Blutgruppe in die Achselhöhle tätowiert.","SetB","True","No","Yes",4,1909,4,2704,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",12,"Tennis wurde in englischen Klöstern erfunden. ","SetB","False","No","Yes",5,688,4,939,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",13,"Die Tanne ist der Nadelbaum mit den längsten Nadeln.","SetB","False","No","Yes",3,1616,4,2195,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",14,"Eine der ersten deutschen Internetsuchmaschinen hieß ""Alcazar"".","SetA","False","Yes","No",2,2248,4,3013,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",15,"Bei Nahrungsmangel kann ein Spulwurm bis zu 95% seines eigenen Körpers verzehren.","SetA","False","Yes","No",4,1005,3,3674,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",16,"Seoul bedeutet auf koreanisch ""Die Hauptstadt"".","SetB","True","No","Yes",4,3272,4,3360,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",17,"Das Zwerghörnchen ist das kleinste Säugetier Europas.","SetB","False","No","Yes",4,2719,4,846,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",18,"In Uganda ist die Amtssprache Englisch.","SetB","True","No","Yes",5,1953,5,1848,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",19,"1 Meter entspricht dem fünfzigmillionsten Teil des Erdumfangs.","SetA","False","Yes","No",3,979,5,1456,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",20,"Schären sind Talgletscher in Skandinavien.","SetB","False","No","Yes",2,828,5,1529,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",21,"Das einzige Bild, das Van Gogh zu seinen Lebzeiten verkaufte, war ""Der rote Weinberg"".","SetB","True","No","Yes",3,916,5,2356,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",22,"Das Schnabeltier gehört nicht zur Gattung der Säugetiere.","SetA","False","Yes","No",4,1920,5,4856,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",23,"Lachse können bis zu 20 Jahre alt werden. ","SetB","False","No","Yes",4,1569,4,3522,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",24,"Auf jedem Kontinent gibt es eine Stadt die Rom heißt.","SetB","True","No","Yes",5,808,4,2355,NA
